"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/StarterContent/Materials/M_ColorGrid_LowSpec.M_ColorGrid_LowSpec","0","23","23","1","44.902454","0","23"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","4","4","1","6.906118","0","4"
"/Engine/EditorMeshes/ColorCalibrator/M_ColorGrid.M_ColorGrid","0","35","35","1","23.699551","0","35"
"/Water/Materials/Brushes/CompositeWaterBodyTexture.CompositeWaterBodyTexture","0","5","5","1","8.437377","0","5"
"/Water/Materials/Brushes/CanvasDrawing.CanvasDrawing","0","7","7","1","11.201169","0","7"
"/Landmass/Landscape/BlueprintBrushes/Materials/RenderSplineDepths.RenderSplineDepths","0","6","6","1","11.027573","0","6"
"/Landmass/Landscape/BlueprintBrushes/Materials/CacheDistanceField.CacheDistanceField","0","5","5","1","7.199577","0","5"
"/Landmass/DistanceFields/Materials/JumpFloodStep.JumpFloodStep","0","5","5","1","7.332780","0","5"
"/Landmass/DistanceFields/Materials/DetectEdges.DetectEdges","0","5","5","1","7.722452","0","5"
"/Landmass/DistanceFields/Materials/BlurEdges.BlurEdges","0","5","5","1","7.659863","0","5"
"/Water/Materials/WaterSurface/Water_Material.Water_Material","0","715","785","5","5191.269043","0","785"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","12","14","1","33.892502","0","14"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","5","5","1","5.354718","0","5"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","26","26","1","48.578857","0","26"
"/Water/Materials/PostProcessing/M_UnderWater_PostProcess_Volume.M_UnderWater_PostProcess_Volume","0","15","16","1","27.354298","0","16"
"/Game/StarterContent/Particles/Materials/m_flare_01.m_flare_01","0","14","14","1","15.330976","0","14"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","0","12","12","1","19.695023","0","12"
"/Engine/EditorMaterials/Thumbnails/SkySphereMaterial.SkySphereMaterial","0","23","23","1","35.070755","0","23"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","5","5","1","3.607077","0","5"
"/Game/StarterContent/Materials/M_Glass.M_Glass","0","35","35","1","297.900391","0","35"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","100","100","1","1196.444214","0","100"
"/Landmass/Landscape/BlueprintBrushes/Materials/Sprite/M_BrushSprite_01.M_BrushSprite_01","0","17","19","1","36.677631","0","19"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","45","45","1","46.649597","0","45"
"/Game/StarterContent/Materials/M_Basic_Wall.M_Basic_Wall","0","23","23","1","0.000000","0","23"
"/Game/StarterContent/Materials/M_Basic_Floor.M_Basic_Floor","0","23","23","1","32.515499","0","23"
"/Game/StarterContent/Materials/M_AssetPlatform.M_AssetPlatform","0","23","23","1","33.571632","0","23"
"/Game/StarterContent/Blueprints/Assets/M_LightStage_Arrows.M_LightStage_Arrows","0","4","4","1","4.167618","0","4"
"/Game/Tracks/mapa_02/props/ContainerTexturas_Interior_Azul_Mat.ContainerTexturas_Interior_Azul_Mat","0","14","14","1","0.000000","0","14"
"/Game/Tracks/mapa_02/Material_006.Material_006","0","14","14","1","0.000000","0","14"
"/Game/Tracks/mapa_02/Gradient_Pallete_Mat.Gradient_Pallete_Mat","0","17","18","1","0.000000","0","18"
"/Game/Tracks/mapa_02/Material_011.Material_011","0","14","14","1","0.000000","0","14"
"/Game/StarterContent/Particles/Materials/M_Heat_Distortion.M_Heat_Distortion","0","23","23","1","27.302931","0","23"
"/Game/StarterContent/Props/Materials/M_TableRound.M_TableRound","0","23","23","1","39.378372","0","23"
"/Game/StarterContent/Props/Materials/M_StatueGlass.M_StatueGlass","0","35","35","1","316.257782","0","35"
"/Game/StarterContent/Props/Materials/M_Statue.M_Statue","0","23","23","1","39.127548","0","23"
"/Game/StarterContent/Particles/Materials/M_Spark.M_Spark","0","11","11","1","13.903853","0","11"
"/Game/StarterContent/Particles/Materials/M_smoke_subUV.M_smoke_subUV","0","56","56","1","92.864609","0","56"
"/Game/StarterContent/Props/Materials/M_Shelf.M_Shelf","0","23","23","1","40.117573","0","23"
